"Timestamp","انا من محافظة .........","من انت / انتى  ؟","الفئة العمرية (عندك كام سنة )","المستوى التعليمى ","النوع ","هل ترى ان اسعار السلع الغذائية  تزيد","هل ترى ان مستوى دخلك الشهرى يتناسب مع الزيادة المستمرة فى الاسعار .","هل ترى ان نسبة الزيادة و الارتفاع فى الاسعار للسلع الغذائية.","ما هى السلع الغذائية  التى ترى ان سعرها مرتفع بدرجة هو عالية جدا (يمكنك اختيار اكثر من سلعة )","اكتب شكوى او اذكر موقف  للغش التجارى و غلاء و ارتفاع الاسعار حدث معك عند شراء سلعة غذائية .","اكتب بعض الحلول او المقترحات لحل مشكلة ارتفاع و غلاء الاسعار  للسلع الغذائية . "
"2023/11/19 7:27:22 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","الاسعار متزايدة بصورة مستمرة من قبل جميع التجار ","للاسف انا مش دارس اقتصاد "
"2023/11/19 7:33:28 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","دبلومات","أنثى","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","اللحوم و الاسماك و الدواجن","اشتريت سلعه وكانت غاليه اوي واكتشفت ان هي منتاهيه الصلحيه","ان التجار جشعين وبيحتقروا  السلع في المخازن"
"2023/11/19 7:52:31 PM GMT+2","اسيوط","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الدقيق و الخبز و اى مخبوزات اخرى;المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .;","السكر","رقابة دائمة"
"2023/11/19 7:56:22 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","جميع ما سبق ","غلاء يوميا مستمر","التراقب يفضل مستمر"
"2023/11/19 8:19:09 PM GMT+2","الشرقية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .",".. ",".. "
"2023/11/19 8:23:04 PM GMT+2","القليوبية","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","دبلومات","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .;","كل يوم زياده في الأسعار وغش","اتقو الله شويه "
"2023/11/19 8:26:33 PM GMT+2","القاهرة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الدقيق و الخبز و اى مخبوزات اخرى;سلع السوبر ماركت بجميع انواعها .","الأسعار بقيت صعبة لدرجة الناس مش قادرة تغطي احتياجتها اليومية","لازم الحكومة تحجم من جشع التجار وتحكم السوق "
"2023/11/19 8:33:19 PM GMT+2","الدقهلية","صاحب مصنع / شركة","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );سلع السوبر ماركت بجميع انواعها .","جشع التجار واستلال الظروف يخزنون السكر لرفع سعره ","وجود رقابه قويه صاحبه ضمير لا تقبل الرشوه ومراعاه الضمير المهني "
"2023/11/19 9:06:57 PM GMT+2","بنى سويف","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الخضراوات;السلع التموينية;اللحوم و الاسماك و الدواجن;الارز و الذرة و القمح","ارتفاع الاسعار مستمر بشكل اسبوعي","الانتاج المحلي"
"2023/11/19 9:11:29 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","السلع التموينية;الالبان و الاجبان و البيض و الزبادى;سلع السوبر ماركت بجميع انواعها .","بدخل اشتري اي حاجه بعدها يدوب با كام يوم القي الاسعار زادت وكمان الاسعار في المحلات مش زي بعضها مثلا ادخل اشتري كنز ولا حاجه اشربها محل يوم 7 جنيه وتاني يقول 8 ومفيش رقابة خالص على الأسعار "," ان تقوم الدولة بتحديد قائمة با الأسعار وإبلاغ جميع المحلات با البيع بيها وعدم مخالفتها والتنبيه على من يخالف هذه الأسعار أو يتلاعب بها با اي نوع من الأشكال انه سوف يتخد معه إجراءات قانونية صارمه وتغريمه مبالغ كبيرة ومنعه من مزاوله نشاط البيع وشراء والمتاجرة في السلع الغذائية "
"2023/11/19 9:27:14 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الدقيق و الخبز و اى مخبوزات اخرى","تخزين التجار السلع وبيعها بالغلاء للمواطنين","يكون فيه رقابه كافيه في السوق وتسعير كل الأصناف من قبل المسؤليين"
"2023/11/19 11:41:17 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن"," انا مش عارف اي دا بس دخلت علشان احمد حسام"," معنديش حلول"
"2023/11/20 1:08:53 AM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );سلع السوبر ماركت بجميع انواعها .","السكر بنشتريه ب ٤٣ ومكتوب علي الكيس ١٢ونص","الحل الوحيد ان يكون فيه رقابة علي التجار "
"2023/11/20 2:30:08 AM GMT+2","المنيا","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .;المنتجات الالكترونية - الخدمات الالكترونية والاوراق والمستندات الحكومية","زيادة كل يوم عن اليوم اللي قبله في كل المنتجات دي ونروح نشتري اي كان المنتج بلاقيه زايد عن سعره عن اليوم اللي قبله 20% و 50% دا غير المنتجات الالكترونية زي الكمبيوتر والهواتف ممكن تزيد 100% في يوم واحد","التوقف عن اخذ القروض - عدم بيع اصول مصر للاحانب وبيعها للمصريين ممن لديهم سيولة دولارية - عدم طرح شهادات ولكن تعويض كل مواطن عن التضخم بصفة استثنائية من البنك المركزي - القبض علي كل تجار السوق السوداء - مراقبة المنتجات وفضح والقبض علي حيتان السوق المحتكرين للمنتجات والسلع "
"2023/11/20 10:17:03 AM GMT+2","الاسكندرية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الخضراوات;الالبان و الاجبان و البيض و الزبادى;سلع السوبر ماركت بجميع انواعها .",".","."
"2023/11/20 10:19:21 AM GMT+2","الإسماعيلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","اللحوم و الاسماك و الدواجن","يجب علي المسؤلين والحكام ان يخفضوا الأسعار حتي تتناسب مع جميع الطبقات لكي يعيش كل فرد في المجتمع حياه كريمه. لان غلاء الاسعار له اضرار جانبيه ع الفرد خاصه وعلي المجتمع عامه  مثل السرقه والرشوه والاعمال غير مشروعه وبذالك.يهدد .. أمن المجتمع  ، وشكرا.","انشاء مشاريع ضخمه.استغلال الثروه البشريه. القضاء ع مشكله البطاله. تنفيذ السلطات  بردع كل من يقوم بتجاره الاحتكار وما شابه ذالكظ"
"2023/11/20 3:33:41 PM GMT+2","الجيزة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","علي سبيل المثال لما بتشتري اي حاجه من السوبر ماركت.. لو روحت اي سوبر ماركت تاني هاتلاقي الاسعار مختلفه تماما","الرقابه اولا علي الاسعار
استعمال قناه السويس بالجنيه المصري هايعلي الاقتصاد بتاعنا والاسعار هاتنخفض"
"2023/11/20 3:33:48 PM GMT+2","المنوفية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","السلع التموينية;الالبان و الاجبان و البيض و الزبادى;سلع السوبر ماركت بجميع انواعها .","في المناطق قليلة السكان مثل مدينة بدر يوجد استغلال في الأسعار رغم الاغلب السكان عمال وطلبة ","التجار يبيعون بسعر موحد، وكل منتج يكتب سعره علي العبوة"
"2023/11/20 3:36:25 PM GMT+2","القليوبية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الدقيق و الخبز و اى مخبوزات اخرى;المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","كتير كل التجار والموزعين بيرفعوا الاسعار بدون سبب حتي مي ثبات سعر صرف العمله الاجنبيه في البنوك  والسلع المصريه كمان  بتغلي بدون اسباب واضحه يعني لتر البنزين يغلي نص جنيه ولا جنيه تلاقي اقل حاجه زاتد من 5 ل 10 جنيه ربما يتولانا","ربنا وحده الي  قادر يخلصنا من الازمه دي"
"2023/11/20 3:44:25 PM GMT+2","الجيزة","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","درجة الدكتورة او الماجستير","ذكر","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة","الخضراوات;الفاكهة;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى","-","المراقبة ووضع ضوابط من الدولة "
"2023/11/20 4:04:02 PM GMT+2","المنوفية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );سلع السوبر ماركت بجميع انواعها .","المنتج المصري واسمه شاي الكابوس سعرة 55 جنية وبعض المحالات اوصلته الى 60 و 70","توعية اصحاب المحالات والسوبرماركيت ان يساعدوا المصانع والشركات في التغلب على المنتجات المستوردة وعدم المبالاة في الزيادة العشوائية في الاسعار حتى لا يذهب المواطن الى الاقبال على المنتجات المستوردة "
"2023/11/20 4:09:31 PM GMT+2","الجيزة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","الخضراوات;اللحوم و الاسماك و الدواجن;الارز و الذرة و القمح;المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .;الالكترونيات ","الالكترونيات مثل اللاب توب اسعاره متزايد ب شكل كبير جدا حيث اذا سألت في شهر الشهر الذي يله اجد تزايد ملحوظ في السعر ","اقاله الحكومه الفاسده 
وجود حاكم مدني (ليس عسكري)"
"2023/11/20 4:12:37 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","دبلومات","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .;الأدوية ومعظم المنتجات","مواقف لا يمكن حصرها منها 
احتكار السكر وزيت الطعام ","."
"2023/11/20 4:24:26 PM GMT+2","الجيزة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها )","المشروبات المصرية سعرها الرسمي ٨ جنيهات جميع الاماكن تبيعها ب ١٠ و ١٢","تحكم و مراقبه التجار و دعم السلع"
"2023/11/20 4:24:52 PM GMT+2","الفيوم","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الخضراوات;الفاكهة;السلع التموينية;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","..",".."
"2023/11/20 4:32:19 PM GMT+2","القاهرة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل شهر","نعم (دخلي الشهرى  يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;سلع السوبر ماركت بجميع انواعها .","الارز يباع باكثر من سعر و في اكثر من مكان ايضا الجبن و السلع المنزلية","توحيد الاسعار و زيادة الرقابة "
"2023/11/20 4:47:35 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة","اللحوم و الاسماك و الدواجن","المصنع يرخص المنتج ب سعر أقل مما يعيطيه لنا أصحاب المحلات","استخدام سعر موحد "
"2023/11/20 5:24:40 PM GMT+2","الاسكندرية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","الخضراوات;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );سلع السوبر ماركت بجميع انواعها .","غلاء الأسعار ","مقاطعه"
"2023/11/20 6:28:06 PM GMT+2","الاسكندرية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","بكالوريوس جامعى","أنثى","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;سلع السوبر ماركت بجميع انواعها .","يتم ارتفاع السعر تلقائيا من التاجر دون أي مراقبة او حساب و يغش في سعرها","الرقابة المالية و تقنين الاسعار و زيادة الإنتاجية و تقليل الاستيراد"
"2023/11/20 7:43:05 PM GMT+2","القاهرة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","بعد قرار المقاطعه و تشجيع صناعه مصر التجار استغلوا السحب ع المنتج المصري و كل واحد بيبيع بسعر مختلف محدش بقي عارف سعر المنتج كام و لو عارفين فا مش هنلاقي مكان واحد بيبيعه بسعره الحقيقي ","المصانع المصريه متستغلش زياده الطلب ع منتجاتها و كمان كل منتج يكون مكتوب عليه سعره من مصنعه و ده السعر اللي نتحاسب عليه "
